"職業標準分類(XML)","職業代碼(第6次修訂)","職  業  名  稱"
"1","民意代表、主管及經理人員",
"11","民意代表、高階主管及總執行長",
"111","民意代表及高階主管人員",
"1111","民意代表",
"1112","政府高階主管人員",
"1113","民間團體高階主管人員",
"112","總經理及總執行長",
"1120","總經理及總執行長",
"12","行政及商業經理人員",
"121","企業服務及行政經理人員",
"1211","財務經理人員",
"1212","人力資源經理人員",
"1219","其他企業服務及行政經理人員",
"122","行銷及研發經理人員",
"1221","行銷及有關經理人員",
"1222","廣告及公關經理人員",
"1223","研究發展經理人員",
"13","生產及專業服務經理人員",
"131","農、林、漁、牧業生產經理人員",
"1310","農、林、漁、牧業生產經理人員",
"132","採礦、製造、營造及配送經理人員",
"1321","採礦及採石經理人員",
"1322","製造經理人員",
"1323","營造經理人員",
"1324","供給、配送及倉儲經理人員",
"133","資訊及通訊技術服務經理人員",
"1330","資訊及通訊技術服務經理人員",
"134","專業服務經理人員",
"1341","醫療保健服務主管人員",
"1342","老人照顧服務主管人員",
"1343","社會福利服務主管人員",
"1344","教育服務主管人員",
"1345","金融及保險服務經理人員",
"1349","其他專業服務經理人員",
"14","餐旅、零售及其他場所服務經理人員",
"141","旅館及餐廳經理人員",
"1411","旅館經理人員",
"1412","餐廳經理人員",
"142","批發及零售場所經理人員",
"1420","批發及零售場所經理人員",
"149","其他場所服務經理人員",
"1491","運動、休閒及文化中心經理人員",
"1499","未分類其他場所服務經理人員",
"2","專業人員",
"21","科學及工程專業人員",
"211","物理、化學及地球科學專業人員",
"2111","物理及天文學專業人員",
"2112","氣象學專業人員",
"2113","化學專業人員",
"2114","地質及地球物理學專業人員",
"212","數學、精算及統計學專業人員",
"2120","數學、精算及統計學專業人員",
"213","生命科學專業人員",
"2131","生物、植物及動物學有關專業人員",
"2132","農、林、漁、牧業專業人員",
"2133","環境保護專業人員",
"214","非電科技工程專業人員",
"2141","工業及生產工程師",
"2142","土木工程師",
"2143","環境工程師",
"2144","機械工程師",
"2145","化學工程師",
"2146","採礦工程師、冶金學及有關專業人員",
"2149","其他工程專業人員",
"215","電科技工程師",
"2151","電機工程師",
"2152","電子工程師",
"2153","電信工程師",
"216","建築師、規劃師及測量師",
"2161","建築師",
"2162","都市及交通規劃師",
"2163","測量師及製圖師",
"217","設計師",
"2171","室內設計師",
"2172","平面及多媒體設計師",
"2173","產品及服裝設計師",
"22","醫療保健專業人員",
"221","醫師",
"2210","醫師",
"222","護理及助產專業人員",
"2220","護理及助產專業人員",
"223","牙醫師",
"2230","牙醫師",
"224","中醫師",
"2240","中醫師",
"225","獸醫師",
"2250","獸醫師",
"226","藥師",
"2260","藥師",
"229","其他醫療保健專業人員",
"2291","環境及職業衛生專業人員",
"2292","物理治療師",
"2293","營養師",
"2294","聽力及語言治療師",
"2295","職能治療師",
"2299","未分類其他醫療保健專業人員",
"23","教學專業人員",
"231","高等教育教師",
"2310","高等教育教師",
"232","中等教育教師",
"2320","中等教育教師",
"233","初等教育及學前教育教師",
"2331","初等教育教師",
"2332","學前教育人員",
"234","特殊教育教師",
"2340","特殊教育教師",
"239","其他教學專業人員",
"2391","語言才藝教師",
